N iter1 iter2 matriz
355 0.000102 8e-05 0.001004
356 0.000103 8e-05 0.001009
357 0.000103 8e-05 0.001011
358 0.000103 8e-05 0.001002
359 0.000104 8.1e-05 0.001006
360 0.000104 8.1e-05 0.001016
361 0.000104 8.1e-05 0.001017
362 0.000104 8.1e-05 0.00103
363 0.000106 8.2e-05 0.001021
364 0.000105 8.2e-05 0.001021
365 0.000106 8.2e-05 0.001026
366 0.000105 8.2e-05 0.001026
367 0.000105 8.2e-05 0.001033
368 0.000106 8.2e-05 0.001033
369 0.000106 8.3e-05 0.00104
370 0.000106 8.3e-05 0.001047
371 0.000107 8.3e-05 0.00104
372 0.000107 8.3e-05 0.001051
373 0.000107 8.4e-05 0.001055
374 0.000108 8.4e-05 0.001053
375 0.000108 8.4e-05 0.001071
376 0.000109 8.4e-05 0.001065
377 0.000109 8.4e-05 0.001057
378 0.000109 8.5e-05 0.001061
379 0.000109 8.5e-05 0.001066
380 0.000109 8.5e-05 0.001067
381 0.00011 8.6e-05 0.001073
382 0.00011 8.6e-05 0.001071
383 0.00011 9.1e-05 0.001083
384 0.000111 8.6e-05 0.001075
385 0.000111 8.7e-05 0.001081
386 0.000111 8.7e-05 0.001091
387 0.000111 8.7e-05 0.00109
388 0.00012 9e-05 0.00109
389 0.000112 8.7e-05 0.001103
390 0.000113 8.8e-05 0.001101
391 0.000113 8.8e-05 0.001104
392 0.000112 8.8e-05 0.001117
393 0.000114 8.8e-05 0.001109
394 0.000113 8.8e-05 0.001112
395 0.000114 8.9e-05 0.001113
396 0.000114 8.9e-05 0.001117
397 0.000114 9e-05 0.001118
398 0.000115 9e-05 0.00112
399 0.000115 9e-05 0.001125
400 0.000115 9e-05 0.001142
401 0.000116 9e-05 0.001134
402 0.000116 9e-05 0.001134
403 0.000116 9e-05 0.001133
404 0.000116 9.1e-05 0.001135
405 0.000117 9.1e-05 0.001145
406 0.000116 9.1e-05 0.001143
407 0.000117 9.1e-05 0.001149
408 0.000117 9.2e-05 0.001156
